MedicName,Dose 
Micafungin Sodium,"Antifungal, echinocandin
**********************
Invasive candidiasis (see remarks):
       Neonate and infant (based on a multidose pharmacokinetic and safety trial in 13 neonates/infants aged >48 hr and <120 days with suspected or invasive candidiasis;minimum of 4–5 days of therapy):
              <1 kg: 10 mg/kg/dose IV once daily; additional data from another multidose trial in 12 preterm neonates (median birth weight: 775 g, 27 wk gestation) suggest 15 mg/kg/dose IV once daily will provide similar AUC drug exposure of approximately 5 mg/kg/dose in adults.
             ≥1 kg: 7–10 mg/kg/dose IV once daily; 10–12 mg/kg/dose IV once daily may be needed for HIV-exposed/infected neonates.

Child and adolescent: 3–4 mg/kg/dose IV once daily; max. dose: 200 mg/dose
Adult: 100–150 mg IV once daily

Esophageal candidiasis (see remarks):
    Child and adult:
            <50 kg: 3–4 mg/kg/dose IV once daily; max. dose: 200 mg/dose.
            ≥50 kg: 150 mg IV once daily; mean duration for successful therapy was 15 days (range: 10–30 days).

Candida prophylaxis in hematopoietic stem cell transplant:
    Child and adult:
           <50 kg: 1.5 mg/kg/dose IV once daily; max. dose: 50 mg/dose.
           ≥50 kg: 50 mg IV once daily.

Invasive aspergillosis (limited data; see remarks):
      Child and adult:
             <50 kg: 3–4 mg/kg/dose IV once daily; dosages as high as 7.5 mg/kg/24 hr have been tolerated.
             ≥50 kg: 150 mg IV once daily.

Prior hypersensitivity to other echinocandins (anidulafungin, casopofungin) increases risk; anaphylaxis with shock has been reported. Use with caution in hepatic and renal impairment. No dosing adjustments are required based on race or gender or in patients with severe renal dysfunction or mild to moderate hepatic function impairment. Effect of severe hepatic function impairment on micafungin pharmacokinetics has not been evaluated. Higher dosage requirements in premature and young infants may be attributed to faster drug clearance due to lower protein binding. Higher treatment doses in infants and children have been reported at 8.6–12 mg/kg/dose IV once daily. May cause GI disturbances, phlebitis, rash, hyperbilirubinemia, liver function test elevation, headache,
fever, and rigor. Anemia, leukopenia, neutropenia, thrombocytopenia, TEN, Stevens–Johnson syndrome, and hemolysis have been reported. Micafungin is CYP450 3A isoenzyme substrate and weak inhibitor. May increase the effects/toxicity of nifedipine and sirolimus. Safety and efficacy in children ≥ 4 mo have been demonstrated based on well-controlled studies and pharmacokinetic/safety studies."
Miconazole,"Antifungal agent
***************
Topical: Apply BID × 2–4 wk
      Vaginal:
               7-day regimen: 1 applicator full of 2% cream or 100 mg suppository QHS × 7 days
               3-day regimen: 1 applicator full of 4% cream or 200 mg suppository QHS × 3 days
               1-day regimen (Monistat 1): 1200 mg suppository × 1 at bedtime or during the day

Use with caution in hypersensitivity to other imidazole antifungal agents (e.g., clotrimazole, ketoconazole). Side effects include pruritis, rash, burning, phlebitits, headaches, and pelvic cramps. Drug is a substrate and inhibitor of CYP450 3A3/4 isoenzymes. Vaginal use with concomitant warfarin use has also been reported to increase warfarin’s effect. Vegetable oil base in vaginal suppositories may interact with latex products (e.g., condoms and diaphragms); consider switching to the vaginal cream. Avoid contact with eyes.
"
Midazolam,"Benzodiazepine
**************
Titrate to effect under controlled conditions (see remarks).
Sedation for procedures:
     Child and adolescent:
             IM: 0.1–0.15 mg/kg/dose 30–60 min prior to procedure. Higher dose of 0.5 mg/kg/dose has been used for anxious patients. Max. dose: 10 mg.
             IV:
                   6 mo–5 yr: 0.05–0.1 mg/kg/dose over 2–3 min. May repeat dose PRN in 2–3 min intervals up to a max. total dose of 6 mg. A total dose up to 0.6 mg/kg may be necessary for desired effect.
                   6–12 yr: 0.025–0.05 mg/kg/dose over 2–3 min. May repeat dose PRN in 2–3 min intervals up to a max. total dose of 10 mg. A total dose up to 0.4 mg/kg may be necessary for desired effect.
                   >12–16 yr: Use adult dose; up to max. total dose of 10 mg.
            PO:
                    ≥6 mo: 0.25–0.5 mg/kg/dose × 1; max. dose: 20 mg. Younger patients (6 mo–5 yr) may require higher doses of 1 mg/kg/dose, whereas older patients (6–15 yr) may require only 0.25 mg/kg/dose. Use 0.25 mg/kg/dose for patients with cardiac or respiratory compromise, concurrent CNS depressive drug, or high-risk surgery.

   Adult:
            IM: 0.07–0.08 mg/kg/dose 30–60 min prior to procedure; usual dose is 5 mg.
            IV: 0.5–2 mg/dose over 2 min. May repeat PRN in 2–3 min intervals until desired effect. Usual total dose: 2.5–5 mg. Max. total dose: 10 mg.

Sedation with mechanical ventilation:
   Intermittent:
               Infant and child: 0.05–0.15 mg/kg/dose IV Q1–2 hr PRN
               Continuous IV infusion (initial doses, titrate to effect):
                       Neonate:
                               <32-wk gestation: 0.5 mcg/kg/min
                               ≥32-wk gestation: 1 mcg/kg/min
                       Infant and child: 1–2 mcg/kg/min

Refractory status epilepticus:
        ≥2 mo and child: Load with 0.15 mg/kg IV × 1 followed by a continuous infusion of 1 mcg/kg/min; titrate dose upward Q5 min to effect (mean dose of 2.3 mcg/kg/min with a range of 1–18 mcg/kg/ min has been reported).

Contraindicated in patients with narrow angle glaucoma and shock. Use with caution in CHF, renal impairment (adjust dose; see Chapter 30), pulmonary disease, hepatic dysfunction, and in neonates. Causes respiratory depression, hypotension, and bradycardia.
Cardiovascular monitoring is recommended. Use lower doses or reduce dose when given in combination with narcotics or in patients with respiratory compromise. Higher recommended dosage for younger patients (6 mo–5 yr) is attributed to the water soluble
properties of midazolam and the higher percent body water for younger patients. Drug is a substrate for CYP450 3A4. Serum concentrations may be increased by cimetidine,clarithromycin, diltiazem, erythromycin, itraconazole, ketoconazole, ranitidine, and protease
inhibitors (use contraindicated). Sedative effects may be antagonized by theophylline. Effects can be reversed by flumazenil. For pharmacodynamic information,"
Milrinone,"Inotrope
*******
Child (limited data): 50 mcg/kg IV bolus over 15 min, followed by a continuous infusion of 0.25–0.75 mcg/kg/min and titrate to effect.
Adult: 50 mcg/kg IV bolus over 10 min, followed by a continuous infusion of 0.375–0.75 mcg/kg/min and titrate to effect. Max. dose: 1.13 mg/kg/24 hr.

Contraindicated in severe aortic stenosis, severe pulmonic stenosis, and acute MI. May cause headache, dysrhythmias, hypotension, hypokalemia, nausea, vomiting, anorexia, abdominal pain, hepatotoxicity, and thrombocytopenia. Pediatric patients may require higher mcg/kg/min doses because of a faster elimination T1/2 and larger volume of distribution when compared to adults. Hemodynamic effects can last up to 3–5 hr after discontinuation of infusion in children. Reduce dose in renal impairment."
Mineral Oil,"Laxative, lubricant
***************
Constipation:
        Child 5–11 yr (see remarks):
                     Oral liquid: 5–15 mL/24 hr ÷ once daily–TID PO
                     Oral emulsion (Kondremul): 10–30 mL/24 hr ÷ once daily–TID PO
                     Rectal (2–11 yr): 66.5 mL as single dose
        Child ≥ 12 yr and adult (see remarks):
                       Oral liquid: 15–45 mL/24 hr ÷ once daily–TID PO
                       Oral emulsion (Kondremul): 30–90 mL/24 hr ÷ once daily–TID PO
                       Rectal: 133 mL as single dose

May cause diarrhea, cramps, and lipid pneumonitis via aspiration. Use as a laxative should not exceed > 1 wk. Onset of action is approximately 6–8 hr. Higher doses may be necessary to achieve desired effect. Do not give QHS dose and use with caution in children
aged <5 yr to minimize risk of aspiration. May impair the absorption of fat-soluble vitamins, calcium, phosphorus, oral contraceptives, and warfarin. Emulsified preparations are more palatable and are dosed differently than the oral liquid preparation.
For disimpaction, doses up to 1 ounce (30 mL) per yr of age (max. dose of 240 mL) BID can be given. Pregnancy category has not been officially assigned by the FDA"
Minocycline,"Antibiotic, tetracycline derivative
***************************
General infections:
        Child (8–12 yr): 4 mg/kg/dose × 1 IV/PO, then 2 mg/kg/dose Q12 hr IV/PO; max. dose: 200 mg/24 hr
        Adolescent and adult: 200 mg/dose × 1 IV/PO, then 100 mg Q12 hr IV/PO

Chlamydia trachomatis/Ureaplasma urealyticum:
        Adolescent and adult: 100 mg IV/PO Q12 hr × 7 days

Acne (≥12 yr–adult):
           Immediate-release dosage forms: 50–100 mg PO once daily–BID

Extended-release tabs:
     45–49 kg: 45 mg PO once daily
     50–59 kg: 55 mg PO once daily
     60–71 kg: 65 mg PO once daily
     72–84 kg: 80 mg PO once daily
     85–96 kg: 90 mg PO once daily
     97–110 kg: 105 PO once daily
     111–125 kg: 115 mg PO once daily
     126–136 kg: 135 mg PO once daily

Not recommended for children <8 yr and during the last half of pregnancy due to risk for permanent tooth discoloration. Use with caution in renal failure; lower dosage may be necessary. High incidence of vestibular dysfunction (30%–90%). Nausea, vomiting, allergy, increased intracranial pressure (e.g., pseudotumor cerebri), photophobia, and injury to developing teeth may occur. Hepatitis, including autoimmune hepatitis, liver failure, hypersensitivity reactions (e.g., anaphylaxis, Stevens–Johnson syndrome, erythema multiforme), and lupus-like syndrome have been reported. May increase effects/toxicity of warfarin and decrease the efficacy of live attenuated oral typhoid vaccine. May be administered with food but NOT with milk or dairy products. See Tetracycline for additional drug/food interactions and comments"
Minoxidil,"Antihypertensive agent, hair growth stimulant
*************************************
Child < 12 yr:
               Start with 0.1–0.2 mg/kg/24 hr PO once daily; max. dose: 5 mg/24 hr. 
               Dose may be increased in increments of 0.1–0.2 mg/kg/24 hr at 3-day intervals. Usual effective range:
               0.25–1 mg/kg/24 hr PO ÷ once daily–BID; max. dose: 50 mg/24 hr.
          ≥12 yr and adult:
                 Oral: Start with 5 mg once daily. Dose may be gradually increased at 3-day intervals. Usual effective range: 10–40 mg/24 hr ÷ once daily–BID; max. dose: 100 mg/24 hr.

Topical (alopecia; see remarks):
          Adult: Apply solution topically to the affected areas of the scalp BID (QAM and QHS).

Contraindicated in acute MI, dissecting aortic aneurysm, and pheochromocytoma. Concurrent use with a β-blocker and diuretic is recommended to prevent reflex tachycardia and reduce water retention, respectively. May cause drowsiness, dizziness, CHF, pulmonary edema, pericardial effusion, pericarditis, thrombocytopenia, leukopenia, Stevens–Johnson syndrome, TEN, and hypertrichosis (reversible) with systemic use. Neonatal hypertrichosis has been reported following use during pregnancy. Concurrent use of guanethidine may cause profound orthostatic hypotension; use with other antihypertensive agents may cause additive hypotension. Patients with renal failure or those receiving dialysis may require a dosage reduction. Antihypertensive onset of action within 30 min and peak effects within 2–8 hr. TOPICAL USE: Local irritation, contact dermatitis may occur. Do not use in conjunction with other topical agents including topical corticosteroids, retinoids, petrolatum, or agents that are known to enhance cutaneous drug absorption. Onset of hair growth is 4 mo. Wash hands thoroughly after each application. The 5% solution is flammable"
Mometasone Furoate ± Fomoterol Fumarate,"Corticosteroid
************

MOMETASONE FUROATE:
        Intranasal (allergic rhinitis): Patients with known seasonal allergic rhinitis should initiate therapy 2–4 wk prior to anticipated pollen season.
             Child 2–11 yr: 50 mCg (1 spray) each nostril once daily (100 mCg/24 hr)
             Child ≥12 yr and adult: 100 mCg (2 sprays) each nostril once daily (200 mCg/24 hr).
      Oral inhalation:
        Asmanex HFA (aerosol for inhalation):
                Child 5–<12 yr: 2 inhalations (100 mCg) BID of 50 mCg inhaler (200 mCg/24 hr)
                Child ≥12 yr and adult: Max. effects may not be achieved until 2 wk. Titrate doses to lowest effective dose once asthma stabilized.

Previously treated with bronchodilators alone or medium-dose inhaled corticosteroids: 2 inhalations (200 mCg) BID of 100 mCg inhaler (400 mCg/24 hr)
Previously receiving high-dose inhaled or chronic oral corticosteroids: 2 inhalations (400 mCg) BID of 200 mCg inhaler (800 mCg/24 hr).Max. dose (all ages): 800 mCg/24 hr.

Asmanex Twisthaler (breath activated powder for inhalation):
     Child 4–11 yr: Start with 110 mCg (1 inhalation) QHS of the 110-mCg inhaler regardless of prior therapy. Max. dose: 110 mCg/24 hr.
     Child ≥12 yr and adult: Max. effects may not be achieved until 1–2 wk or longer. Titrate doses to the lowest effective dose once asthma stabilized.

Previously treated with bronchodilators alone or with inhaled corticosteroids: Start with 220 mCg (1 inhalation) QHS. Dose may be increased up to a max. dose of 440 mCg/24 hr ÷ QHS or BID.
Previously treated with oral corticosteroids: Start with 440 mCg BID; max. dose: 880 mCg/24 hr.

Topical :
   Cream and ointment:
           ≥2 yr and adult: Apply a thin film to affected area once daily. Safety and efficacy for >3 wk has not been established for pediatric patients.
  Lotion:
          ≥12 yr and adult: Apply a few drops to affected area and massage lightly into skin once daily until it disappears.

MOMETASONE FUROATE + FOMOTEROL FUMARATE (Dulera):
     Child 5–<12 yr: Two inhalations BID of 50 mCg mometasone + 5 mCg fomoterol; max. dose: 2 inhalations BID
     Child ≥12 yr and adult: Two inhalations BID of either 100 mCg mometasone + 5 mCg formoterol or 200 mCg mometasone + 5 mCg formoterol based on prior asthma therapy (see the following table). If using the lower strength (100 mCg mometasone + 5 mCg formoterol), allow for 2 wk of therapy before increasing to the higher strength if no adequate response. Max. dose: Two inhalations BID of 200 mCg mometasone + 5 mCg formoterol.

Previous Therapy                                                  Recommended Starting Dose                      Recommended Maximum Daily Dose
Medium-dose inhaled corticosteroids        100 mCg mometasone + 5 mCg                  400 mCg mometasone + 20
                                                                                      formoterol: 2 inhalations BID mCg            formoterol
High-dose inhaled corticosteroids                200 mCg mometasone + 5 mCg                   800 mCg mometasone + 20   
                                                                                    formoterol: 2 inhalations BID                        mCg formoterol              


Mometasone is a CYP 450 3A4 substrate; concurrent administration with ketoconazole and other CYP 450 3A4 inhibitors (e.g., protease inhibitors) may increase mometasone levels, resulting in Cushing syndrome and adrenal suppression. Blurred vision, cataracts, and glaucoma have been reported. Use with caution with hepatic impairment; increased drug exposure is possible. 

INTRANASAL: Clear nasal passages and shake nasal spray well before each use. Onset of action for nasal symptoms of allergic rhinitis has been shown to occur within 11 hr after the first dose. Nasal burning and irritation may occur. Nasal septal perforation and taste and smell disturbances have been rarely reported. A clinical trial in children 6–17 yr old was not able to demonstrate effectiveness for treating nasal polyps.

ORAL INHALATION (all forms): Rinse mouth after each use. Fever, allergic rhinitis, URI, UTI, GI discomfort, and sore throat have been reported in children. Musculoskeletal pain, oral candidiasis, arthralgia, and fatigue may occur. May potentially worsen tuberculosis, fungal, bacterial, viral or parasitic infection, or ocular herpes simplex. Do not use Asmanex Twisthaler if allergic to milk proteins. The Twisthaler dosage form requires a minimum 30–60 L/min inspiratory flow rate to assure proper dose delivery. Breast-feeding information is currently unknown, but most experts consider use of inhaled corticosteroids acceptable.

MOMETASONE + FOMOTEROL (Dulera): Common side effects include nasopharyngitis, sinusitis, and headache. Angioedema, anaphylaxis, and arrhythmias have been reported. See Formoterol for additional remarks.

TOPICAL USE: HPA axis suppression and skin atrophy have been reported with cream and ointment use in infants 6–23 mo. Avoid application/contact to face, eyes, underarms, groin, and mucous membranes. Occlusive dressings and use in diaper dermatitis are not recommended."
Montelukast,"Antiasthmatic, antiallergic, leukotriene receptor antagonist
************************************************
Asthma and seasonal allergic rhinitis:
        Child (6 mo–5 yr): 4 mg (oral granules or chewable tablet) PO QHS; minimum age for use in asthma (per product label) is 12 mo.
        Child (6–14 yr): 5 mg (chewable tablet) PO QHS
        ≥15 yr and adult: 10 mg PO QHS

Prevention of exercise-induced bronchospasm (administer dose at least 2 hr prior to exercise; additional doses should not be administered within 24 hr):
     Child (6–14 yr): 5 mg (chewable tablet) PO
    ≥15 yr and adult: 10 mg PO

Chewable tablet dosage form is contraindicated in phenylketonuric patients. Side effects include headache, abdominal pain, dyspepsia, fatigue, dizziness, cough, and elevated liver enzymes. Diarrhea, enuresis, epistaxis, pulmonary eosinophilia, thrombocytopenia,
hypersensitivity reactions (including Stevens–Johnson and TEN), pharyngitis, nausea, otitis, sinusitis, and viral infections have been reported in children. Neuropsychiatric events, including aggression, anxiety, dream abnormalities, hallucinations, depression, suicidal behavior, and insomnia, have been reported. Drug is a substrate for CYP450 3A4 and 2C9. Phenobarbital and rifampin may induce hepatic metabolism to increase the clearance of montelukast. Doses may be administered with or without food
"
Morphine Sulfate,"Narcotic, analgesic
***************
Titrate to effect.
       Neonate:
                 Analgesia/tetralogy (cyanotic) spells: 0.05–0.2 mg/kg/dose IM, slow IV, SC Q4 hr
                 Opiate withdrawal: 0.08–0.2 mg/kg/dose PO Q3–4 hr PRN
                       Infant 1–6 mo:
                             PO: 0.08–0.1 mg/kg/dose Q3–4 hr PRN
                             IV: 0.025–0.03 mg/kg/dose Q2–4 hr PRN
                       Infant > 6 mo and child:
                               PO: 0.2–0.5 mg/kg/dose (initial max. dose: 15–20 mg/dose) Q4–6 hr PRN (immediate release) or 0.3–0.6 mg/kg/dose Q12 hr PRN (controlled release)
                               IM/IV/SC: 0.1–0.2 mg/kg/dose Q2–4 hr PRN; max. initial dose: infant: 2 mg/dose, 1–6 yr: 4 mg/dose, 7–12 yr: 8 mg/dose, and adolescent: 10 mg/dose.

Adult:
       PO: 10–30 mg Q4 hr PRN (immediate release) or 15–30 mg Q8–12 hr PRN (controlled release)
       IM/IV/SC: 2–15 mg/dose Q2–6 hr PRN

Continuous IV infusion and SC infusion: Dosing ranges, titrate to effect.
          Neonate (IV route only): 0.01–0.02 mg/kg/hr
          Infant and child:
                 Postoperative pain: 0.01–0.04 mg/kg/hr
                 Sickle cell and cancer: 0.04–0.07 mg/kg/hr
                Adult: 0.8–10 mg/hr

Dependence, CNS and respiratory depression, nausea, vomiting, urinary retention, constipation, hypotension, bradycardia, increased ICP, miosis, biliary spasm, and allergy may occur. Naloxone may be used to reverse effects, especially respiratory depression.
Causes histamine release resulting in itching and possible bronchospasm. Low-dose naloxone infusion may be used for itching. Inflammatory masses (e.g., granulomas) have been reported with continuous infusions via indwelling intrathecal catheters.
Dosage reduction may be necessary with liver cirrhosis. See Chapter 6 for equianalgesic dosing. Pregnancy category changes to “D” if used for prolonged periods or in higher doses at term. Rectal dosing is same as oral dosing but is not recommended due to poor absorption. The FDA has recently announced safety labeling changes and postmarket study requirements for extended-release/long-acting opioid analgesics; see www.fda.gov/drugs/drugsafety for updated information. Controlled/sustained-release oral tablets must be administered whole. Controlledrelease oral capsules may be opened and the entire contents sprinkled on applesauce immediately prior to ingestion. Be aware of the various oral solution concentrations; the concentrated oral solution (100 mg/5 mL) has been associated with accidental overdoses. Adjust dose in renal failure

"
Mupirocin,"Topical antibiotic
**************
Topical (see remarks):
         ≥3 mo–adult: Apply small amount TID to affected area × 5–14 days. Topical ointment may be used in infants aged ≥2 mo for impetigo.

Intranasal for elimination of nasal colonization of Staphylcoccus aureus, including MRSA (all ages): Apply small amount intranasally BID × 5–10 days.

Avoid contact with the eyes. Topical cream is not intended for use in lesions > 10 cm in length or 100 cm2 in surface area. Do not use topical ointment preparation on open wounds because of concerns about systemic absorption of polyethylene glycol. May cause minor local irritation and dry skin. Intranasal route may cause nasal stinging, taste disorder, headache, rhinits, and pharyngitis. If clinical response is not apparent in 3–5 days with topical use, reevaluate infection"
Mycophenolate,"Immunosuppressant agent
**********************
Child and adolescent (see remarks):
    Renal transplant:
                Caps, tabs, or suspension: 600 mg/m2/dose PO/IV BID up to a max. dose of 2000 mg/24 hr; alternatively, patients with body surface areas (BSAs) ≥1.25 m2 may be dosed as follows:
                       1.25–1.5 m2: 750 mg PO BID
                       >1.5 m2: 1000 mg PO BID

Delayed-release tabs (Myfortic): 400 mg/m2/dose PO BID; max. dose: 720 mg BID; this dosage form is not recommended in patients with BSAs < 1.19 m2. Alternatively, patients with body surface areas ≥ 1.19 m2 may be dosed as follows:
        1.19–1.58 m2: 540 mg PO BID
        >1.58 m2: 720 mg PO BID

Nephrotic syndrome:
     Frequently relapsing: 12.5–18 mg/kg/dose or 600 mg/m2/dose PO BID up to a max. dose of 2000 mg/24 hr for 1–2 yr and taper prednisone regimen
     Steroid dependent: 12–18 mg/kg/dose or 600 mg/m2/dose PO BID up to a max. dose of 2000 mg/24 hr

Adult (in combination with corticosteroids and cyclosporine; check specific transplantation protocol for specific dosage):
    IV: 2000–3000 mg/24 hr ÷ BID
    Oral:
            Caps, tabs, or suspension: 2000–3000 mg/24 hr PO ÷ BID
            Delayed-release tabs (Myfortic): 720–1080 mg PO BID

Check specific transplantation protocol for specific dosage. Mycophenolate mofetil is a prodrug for mycophenolic acid. Owing to differences in absorption, the delayed-release tablets should not be interchanged with other oral dosage forms on an equivalent
mg-to-mg basis. Increases risk of first trimester pregnancy loss and increased risk of congenital malformations (especially external ear and facial abnormalities, including cleft lip and palate, and anomalies of the distal limbs, heart, and esophagus).
Common side effects may include headache, hypertension, diarrhea, vomiting, bone marrow suppression, anemia, fever, opportunistic infections, and sepsis. May increase the risk for bacterial, fungal, protozoal, and viral infections and lymphomas or other malignancies. GI bleeds and increased risk for rejection in heart transplant patients switched from calcineurin inhibitors (e.g., cyclosporine and tacrolimus) and CellCept to sirolimus and CellCept have been reported. Cases of progressive multifocal leukoencephalopathy (PML), pure red cell aplasia (PRCA), and hypogammaglobulinemia have also been reported. Use with caution in patients with active GI disease or renal impairment (GFR < 25 mL/min/1.73 m2) outside of the immediate posttransplant period. In adults with renal impairment, avoid doses > 2 g/24 hr and observe carefully. Dose should be interrupted or reduced in the presence of neutropenia (ANC < 1.3 × 103/µL). No dose adjustment is needed for patients experiencing delayed graft function postoperatively. Drug interactions: (1) Displacement of phenytoin or theophylline from protein-binding sites will decrease total serum levels and increase free serum levels of these drugs. Salicylates displace mycophenolate to increase free levels of mycophenolate. (2) Competition for renal tubular secretion results in increased serum levels of acyclovir, ganciclovir, probenecid, and mycophenolate (when any of these are used together). (3) Avoid live and live attenuated vaccines (including influenza); decreases vaccine effectiveness. (4) Proton-pump inhibitors, antacids, cholestyramine, cyclosporine, and telmisartan may reduce mycophenolate levels. Administer oral doses on an empty stomach. Infuse intravenous doses over 2 hr. Oral suspension may be administered via NG tube with a minimum size of 8 French "
Nafcillin,"Antibiotic, penicillin (penicillinase resistant)
***********************************
Neonate (IM/IV):
      <1 kg:
             ≤14 days old: 50 mg/kg/24 hr ÷ Q12 hr
              15–28 days old: 75 mg/kg/24 hr ÷ Q8 hr

Neonate (IM/IV):
      1–2 kg:
           ≤7 days old: 50 mg/kg/24 hr ÷ Q12 hr
           8–28 days old: 75 mg/kg/24 hr ÷ Q8 hr
     >2 kg:
          ≤7 days old: 75 mg/kg/24 hr ÷ Q8 hr
         8–28 days old: 100 mg/kg/24 hr ÷ Q6 hr

Infant and child (IM/IV):
         Mild to moderate infections: 100–150 mg/kg/24 hr ÷ Q6 hr
         Severe infections: 150–200 mg/kg/24 hr ÷ Q4–6 hr; give 200 mg/kg/24 hr ÷ Q4–6 hr for staphylococcal endocarditis or meningitis.
           Max. dose: 12 g/24 hr

Adult:
      IV: 1000–2000 mg Q4–6 hr
      IM: 500–1000 mg Q4–6 hr
      Max. dose: 12 g/24 hr

Allergic cross-sensitivity with penicillin. Solutions containing dextrose may be contraindicated in patients with known allergy to corn or corn products. High incidence of phlebitis with IV dosing. CSF penetration is poor unless meninges are inflammed. Use with caution in patients with combined renal and hepatic impairment (reduce dose by 33%–50%). Nafcillin may increase elimination of cyclosporine and warfarin. Acute interstitial nephritis is rare. May cause rash and bone marrow suppression and false-positive urinary and serum proteins. Hypokalemia has been reported"
Naloxone,"Narcotic antagonist
****************
Opiate intoxication (IM/IV/SC, use 2–10 times IV dose for ETT route; see remarks):
      Neonate, infant, child ≤ 20 kg or ≤ 5 yr: 0.1 mg/kg/dose. May repeat PRN Q2–3 min.
      Child > 20 kg or > 5 yr: 2 mg/dose. May repeat PRN Q2–3 min.

Continuous infusion (child and adult): 0.005 mg/kg loading dose followed by infusion of 0.0025 mg/kg/hr has been recommended. A range of 0.0025–0.16 mg/kg/hr has been reported.Taper gradually to avoid relapse.

Adult: 0.4–2 mg/dose. May repeat PRN Q2–3 min. Use 0.1- to 0.2-mg increments in opiatedependent patients.

Intranasal route for opiate intoxication:
    Child, adolescent, and adult: 4 mg (0.1 mL) of nasal liquid (Narcan) into one nostril, PRN Q2–3 min in alternate nostrils. Alternatively for adolescents and adults, the 2 mg/2 mL intravenous syringe dosage form with nasal adaptor may be used by administering 1 mg (1 mL) per nostril.

Opiate induced pruritis (limited data): 0.25–2 mcg/kg/hr IV; a dose finding study in 59 children suggests a minimum dose of 1 mcg/kg/hr when used as prophylactic therapy. Doses ≥ 3 mcg/kg/hr increases the risk for reduced pain control.
Short duration of action may necessitate multiple doses. For severe intoxication, doses of 0.2 mg/kg may be required. If no response is achieved after a cumulative dose of 10 mg reevaluate diagnosis. In the nonarrest situation, use the lowest effective dose (may start at 0.001 mg/kg/dose). See Chapter 6 for additional information. Will produce narcotic withdrawal syndrome in patients with chronic dependence. Use with caution in patients with chronic cardiac disease. Abrupt reversal of narcotic depression may result in nausea, vomiting, diaphoresis, tachycardia, hypertension, and tremulousness. IV administration is preferred. Onset of action may be delayed with other routes of administration."
Naproxen/Naproxen Sodium,"Nonsteroidal antiinflammatory agent
******************************
All doses based on naproxen base
    Child >2 yr:
              Analgesia: 5–7 mg/kg/dose Q8–12 hr PO
              JRA: 10–20 mg/kg/24 hr ÷ Q12 hr PO
              Usual max. dose: 1000 mg/24 hr
   Adolescent and adult:
        Analgesia:
             Over the counter dosage forms: 200 mg Q8–12 hr PRN PO; 400 mg initial dose may be needed.
                         Max. dose: 600 mg/24 hr

Prescription strength dosage forms: 250 mg Q8–12 hr PRN (500 mg initial dose may be needed) or 500 mg Q12 hr PRN PO. Max. dose: 1250 mg/24 hr for first day then 1000 mg/24 hr
Rheumatoid arthritis, ankylosing spondylitis:
        Immediate-release forms: 250–500 mg BID PO
        Delayed-release tabs (EC-Naprosyn, Naprosyn DR): 375–500 mg BID PO
        Controlled-release tabs (Naprelan): 750–1000 mg once daily PO. For patients converting from immediate- and delayed-release forms, calculate daily dose and administer Naprelan as a single daily dose Max. dose (all dosage forms): 1500 mg/24 hr

Dysmenorrhea:
        500 mg × 1, then 250 mg Q6–8 hr PRN PO or 500 mg Q12 hr PRN PO; max. dose: 1250 mg/24 hr for first day then 1000 mg/24 hr.

Contraindicated in treating perioperative pain for coronary artery bypass graft surgery. May cause GI bleeding, thrombocytopenia, heartburn, headache, drowsiness, vertigo, and tinnitus. Use with caution in patients with GI disease, cardiac disease (risk for thrombotic events, MI, stroke), renal or hepatic impairment, and those receiving anticoagulants. Use is NOT recommended for moderate/severe renal impairment (CrCl < 30 mL/min). See Ibuprofen
for other side effects. Pregnancy category changes to “D” if used in the third trimester or near delivery. Administer doses with food or milk to reduce GI discomfort"
Neomycin Sulfate,"Antibiotic, aminoglycoside; ammonium detoxicant
*****************************************
Diarrhea:
         Preterm and newborn: 50 mg/kg/24 hr ÷ Q6 hr PO

Hepatic encephalopathy:
         Infant and child: 50–100 mg/kg/24 hr ÷ Q6–8 hr PO × 5–6 days. Max. dose: 12 g/24 hr
         Adult: 4–12 g/24 hr ÷ Q4–6 hr PO × 5–6 days

Bowel prep (in combination with erythromycin base):
      Child: 90 mg/kg/24 hr PO ÷ Q4 hr × 2–3 days
      Adult: 1 g Q1 hr PO × 4 doses, then 1 g Q4 hr PO × 5 doses; many other regimens exist

Contraindicated in ulcerative bowel disease, intestinal obstruction, or aminoglycoside hypersensitivity. Monitor for nephrotoxicity and ototoxicity. Oral absorption is limited but levels may accumulate. Consider dosage reduction in the presence of renal failure. May cause itching, redness, edema, colitis, candidiasis, or poor wound healing if applied topically. Prevalence of neomycin hypersensitivity has increased. May decrease absorption of penicillin V, vitamin B12, digoxin, and methotrexate. May potentiate oral anticoagulants and the adverse effects of other neurotoxic, ototoxic, or nephrotoxic drugs

"
